word,freq,probability,freq_iterated,probability_iterated
!,7343,0.04458246815537989,7344,0.04050141457146481
i,4695,0.0285053367819023,4696,0.02589796334798458
:,4214,0.025584981725013053,4215,0.02324529717030558
http,3953,0.024000339999757144,3954,0.021805908662251072
the,3556,0.021589984578582445,3557,0.019616493958428696
to,2885,0.017516058917100775,2886,0.015915997066073998
my,2484,0.015081417798987286,2485,0.01370452276825845
a,2020,0.01226427695408789,2021,0.011145609865050433
in,1688,0.010248564108168495,1689,0.009314663563617112
is,1609,0.009768921593627434,1610,0.008878986582251953
's,1592,0.009665707381637585,1593,0.00878523330778097
you,1592,0.009665707381637585,1593,0.00878523330778097
#,1542,0.009362136169902736,1543,0.008509488382866314
so,1526,0.009264993382147584,1527,0.008421250006893623
for,1504,0.00913142204898425,1505,0.008299922239931173
on,1456,0.008839993685718795,1457,0.008035207112013103
&,1385,0.00840892256505531,1386,0.007643649318634291
of,1333,0.008093208504851068,1334,0.007356874596723047
this,1240,0.0075285660510242495,1241,0.006843989036381786
rt,1219,0.007401066142095613,1220,0.006728176167917629
and,1213,0.007364637596687431,1214,0.00669508677692787
love,1190,0.0072249948392894,1191,0.006568244111467128
it,1164,0.007067137809187279,1165,0.006424856750511507
u,1112,0.0067514237489830365,1113,0.006138082028600263
with,1098,0.006666423809697279,1099,0.0060608734496241596
n't,962,0.00584071011377849,963,0.005310847253856292
at,940,0.005707138780615156,941,0.005189519486893844
'm,915,0.005555353174747733,916,0.005051647024436516
me,892,0.0054157104173497015,893,0.004924804358975773
up,847,0.005142496326788338,848,0.0046766339265525815
just,793,0.004814639418114702,794,0.004378829407644752
are,735,0.004462496812502277,736,0.0040589652947437506
?,709,0.004304639782400156,710,0.003915577933788128
all,698,0.004237854115818489,699,0.003854914050306904
new,655,0.003976782873726519,656,0.0036177734148802993
have,646,0.003922140055614246,647,0.003568139328395661
tonight,622,0.0037764258739815186,623,0.0034357817644366257
do,613,0.0037217830558692456,614,0.0033861476779519875
be,607,0.003685354510461064,608,0.0033530582869622286
what,605,0.00367321166199167,606,0.003342028489965642
now,574,0.0034849975107160637,575,0.003171066636518555
...,571,0.0034667832380119727,572,0.0031545219410236756
kimkardashian,565,0.003430354692603791,566,0.003121432550033917
today,542,0.0032907119352057605,543,0.0029945898845731744
we,542,0.0032907119352057605,543,0.0029945898845731744
out,524,0.003181426298981215,525,0.002895321711603898
that,499,0.0030296406931137904,500,0.0027574492491465696
day,496,0.0030114264204097,497,0.00274090455365169
was,480,0.0029142836326545483,481,0.0026526661776789997
lol,474,0.0028778550872463663,475,0.002619576786689241
ca,474,0.0028778550872463663,475,0.002619576786689241
good,463,0.0028110694206646995,464,0.0025589129032080166
our,462,0.0028049979964300024,463,0.002553398004709723
