freq,word,probability,freq_iterated,probability_iterated
1942,the,0.03987434038970905,1943,0.03384781548324159
1087,of,0.02231895365788555,1088,0.01895338303950944
1056,to,0.021682442560006572,1057,0.018413350985994007
990,a,0.020327289900006158,991,0.017263605323670824
886,in,0.018191897829702482,887,0.015451884886070657
528,you,0.010841221280003286,529,0.009215385687408543
514,is,0.010553764655154714,515,0.008971500243885443
513,'s,0.010533232039094101,514,0.008954079855062365
444,on,0.009116481530911854,445,0.007752073026269946
435,i,0.008931687986366343,436,0.0075952895268622395
422,:,0.008664763977578383,423,0.0073688244721622186
421,that,0.008644231361517771,422,0.00735140408333914
393,for,0.008069318111820626,394,0.006863633196292941
385,it,0.007905057183335729,386,0.006724270085708313
374,&,0.0076791984066689935,375,0.006532645808654449
335,if,0.006878426380305115,336,0.005853250644554386
331,http,0.006796295916062666,332,0.005783569089262072
292,and,0.005995523889698787,293,0.0051041739251620095
262,not,0.005379545407880418,263,0.004581562260469654
256,earth,0.005256349711516744,257,0.0044770399275311824
250,all,0.005133154015153071,251,0.004372517594592711
239,be,0.004907295238486336,240,0.004180893317538847
226,with,0.004640371229698376,227,0.0039544282628388265
222,are,0.004558240765455927,223,0.0038847467075465124
222,but,0.004558240765455927,223,0.0038847467075465124
221,we,0.004537708149395314,222,0.003867326318723434
218,as,0.004476110301213478,219,0.0038150651522541983
216,at,0.004435045069092253,217,0.003780224374608041
215,from,0.004414512453031641,216,0.0037628039857849627
208,just,0.0042707841406073544,209,0.003640861264023413
205,moon,0.004209186292425518,206,0.0035886000975541774
192,an,0.003942262283637558,193,0.0033621350428541565
176,than,0.0036137404266677617,177,0.0030834088216849
173,#,0.003552142578485925,174,0.0030311476552156644
173,do,0.003552142578485925,174,0.0030311476552156644
166,by,0.003408414266061639,167,0.0029092049334541147
163,your,0.0033468164178798022,164,0.002856943766984879
162,what,0.00332628380181919,163,0.0028395233781618005
156,would,0.003203088105455516,157,0.0027350010452233293
148,this,0.003038827176970618,149,0.002595637934638701
147,my,0.0030182945609100054,148,0.0025782175458156226
146,who,0.0029977619448493934,147,0.002560797156992544
136,have,0.0027924357842432704,137,0.0023865932687617587
134,@,0.002751370552122046,135,0.0023517524911156017
132,they,0.0027103053200008215,133,0.0023169117134694446
131,day,0.002689772703940209,132,0.002299491324646366
130,when,0.0026692400878795966,131,0.0022820709358232875
130,people,0.0026692400878795966,131,0.0022820709358232875
130,more,0.0026692400878795966,131,0.0022820709358232875
130,time,0.0026692400878795966,131,0.0022820709358232875
128,n't,0.002628174855758372,129,0.0022472301581771305
124,was,0.002546044391515923,125,0.0021775486028848164
121,no,0.002484446543334086,122,0.0021252874364155808
117,one,0.002402316079091637,118,0.0020556058811232666
115,so,0.0023612508469704127,116,0.0020207651034771096
114,about,0.0023407182309098003,115,0.002003344714654031
114,there,0.0023407182309098003,115,0.002003344714654031
113,sun,0.002320185614849188,114,0.0019859243258309525
111,our,0.0022791203827279634,112,0.0019510835481847955
110,space,0.002258587766667351,111,0.001933663159361717
107,will,0.002196989918485514,108,0.0018814019928924813
105,or,0.0021559246863642897,106,0.0018465612152463243
102,--,0.002094326838182453,103,0.0017943000487770887
101,only,0.0020737942221218403,102,0.0017768796599540101
100,world,0.0020532616060612283,101,0.0017594592711309316
94,universe,0.0019300659096975546,95,0.0016549369381924604
94,today,0.0019300659096975546,95,0.0016549369381924604
93,then,0.0019095332936369424,94,0.001637516549369382
93,can,0.0019095332936369424,94,0.001637516549369382
92,how,0.00188900067757633,93,0.0016200961605463034
92,-,0.00188900067757633,93,0.0016200961605463034
83,science,0.0017042071330308196,84,0.0014633126611385966
82,.,0.0016836745169702071,83,0.001445892272315518
81,fyi,0.001663141900909595,82,0.0014284718834924395
78,now,0.001601544052727758,79,0.001376210717023204
77,their,0.0015810114366671458,78,0.0013587903282001254
77,me,0.0015810114366671458,78,0.0013587903282001254
76,full,0.0015604788206065334,77,0.0013413699393770469
74,happy,0.001519413588485309,75,0.0013065291617308898
74,year,0.001519413588485309,75,0.0013065291617308898
74,after,0.001519413588485309,75,0.0013065291617308898
72,us,0.0014783483563640843,73,0.0012716883840847328
71,know,0.001457815740303472,72,0.0012542679952616542
71,night,0.001457815740303472,72,0.0012542679952616542
70,never,0.0014372831242428598,71,0.0012368476064385757
70,first,0.0014372831242428598,71,0.0012368476064385757
69,should,0.0014167505081822474,70,0.0012194272176154972
67,why,0.001375685276061023,68,0.00118458643996934
67,like,0.001375685276061023,68,0.00118458643996934
67,'re,0.001375685276061023,68,0.00118458643996934
66,get,0.0013551526600004108,67,0.0011671660511462616
66,them,0.0013551526600004108,67,0.0011671660511462616
66,new,0.0013551526600004108,67,0.0011671660511462616
65,were,0.0013346200439397983,66,0.001149745662323183
65,ever,0.0013346200439397983,66,0.001149745662323183
64,its,0.001314087427879186,65,0.0011323252735001045
63,),0.0012935548118185739,64,0.001114904884677026
63,has,0.0012935548118185739,64,0.001114904884677026
62,physics,0.0012730221957579614,63,0.0010974844958539474
61,'',0.0012524895796973492,62,0.001080064107030869
61,pluto,0.0012524895796973492,62,0.001080064107030869
60,],0.001231956963636737,61,0.0010626437182077904
60,up,0.001231956963636737,61,0.0010626437182077904
60,good,0.001231956963636737,61,0.0010626437182077904
60,think,0.001231956963636737,61,0.0010626437182077904
59,those,0.0012114243475761246,60,0.0010452233293847119
59,years,0.0012114243475761246,60,0.0010452233293847119
58,cosmos,0.0011908917315155124,59,0.0010278029405616333
57,'d,0.0011703591154549001,58,0.0010103825517385548
55,over,0.0011292938833336755,56,0.0009755417740923977
55,orbit,0.0011292938833336755,56,0.0009755417740923977
54,other,0.0011087612672730633,55,0.0009581213852693192
54,'m,0.0011087612672730633,55,0.0009581213852693192
53,life,0.001088228651212451,54,0.0009407009964462407
53,any,0.001088228651212451,54,0.0009407009964462407
52,where,0.0010676960351518386,53,0.0009232806076231621
52,does,0.0010676960351518386,53,0.0009232806076231621
52,sky,0.0010676960351518386,53,0.0009232806076231621
51,which,0.0010471634190912264,52,0.0009058602188000836
51,light,0.0010471634190912264,52,0.0009058602188000836
51,out,0.0010471634190912264,52,0.0009058602188000836
50,ask,0.0010266308030306142,51,0.0008884398299770051
50,because,0.0010266308030306142,51,0.0008884398299770051
49,wonder,0.001006098186970002,50,0.0008710194411539265
49,see,0.001006098186970002,50,0.0008710194411539265
47,live,0.0009650329548487773,48,0.0008361786635077695
46,say,0.000944500338788165,47,0.000818758274684691
45,best,0.0009239677227275528,46,0.0008013378858616124
45,way,0.0009239677227275528,46,0.0008013378858616124
44,two,0.0009034351066669404,45,0.0007839174970385339
44,his,0.0009034351066669404,45,0.0007839174970385339
44,humans,0.0009034351066669404,45,0.0007839174970385339
44,he,0.0009034351066669404,45,0.0007839174970385339
44,into,0.0009034351066669404,45,0.0007839174970385339
