word,freq,probability,freq_iterated,probability_iterated
the,2483,0.03610586011342155,2484,0.03247907949790795
to,1988,0.028907954049730986,1989,0.026006799163179915
:,1973,0.028689835684164607,1974,0.025810669456066946
?,1551,0.022553438999563764,1552,0.020292887029288702
#,1450,0.021084775338083468,1451,0.018972280334728035
http,1419,0.02063399738257961,1420,0.01856694560669456
president,1359,0.019761523920314092,1360,0.01778242677824268
obama,1158,0.01683873782172459,1159,0.01515428870292887
a,1129,0.01641704231496292,1130,0.01477510460251046
.,1050,0.015268285589646649,1051,0.01374215481171548
of,972,0.014134070088701468,973,0.012722280334728034
in,950,0.013814163152537444,951,0.012434623430962343
and,878,0.012767194997818816,879,0.011493200836820084
for,843,0.012258252144830594,844,0.011035564853556485
you,771,0.011211283990111967,772,0.010094142259414227
we,702,0.010207939508506616,703,0.009191945606694561
is,651,0.009466337065580923,652,0.00852510460251046
on,626,0.009102806456303621,627,0.008198221757322176
's,624,0.009073724007561436,625,0.008172071129707113
it,555,0.008070379525956085,556,0.007269874476987448
this,496,0.007212447288061655,497,0.006498430962343096
that,468,0.006805293005671078,469,0.006132322175732218
i,458,0.006659880761960157,459,0.006001569037656904
our,402,0.0058455721971790026,403,0.005269351464435147
your,347,0.00504580485676894,348,0.004550209205020921
s,333,0.004842227715573652,334,0.004367154811715481
if,327,0.004754980369347099,328,0.0042887029288702925
at,321,0.004667733023120547,322,0.004210251046025105
more,278,0.004042460375163589,279,0.003648012552301255
with,278,0.004042460375163589,279,0.003648012552301255
are,271,0.003940671804565945,272,0.0035564853556485356
have,264,0.0038388832339683,265,0.003464958158995816
be,248,0.0036062236440308273,249,0.003255753138075314
today,226,0.0032863167078668026,227,0.0029680962343096233
as,225,0.0032717754834957103,226,0.002955020920502092
can,223,0.003242693034753526,224,0.0029288702928870294
not,220,0.00319906936164025,221,0.002889644351464435
do,212,0.0030827395666715137,213,0.002785041841004184
will,204,0.0029664097717027773,205,0.002680439330543933
from,201,0.0029227860985895013,202,0.0026412133891213388
n't,199,0.002893703649847317,200,0.002615062761506276
