word,freq,probability,freq_iterated,probability_iterated
the,9476,0.030959327493882298,9477,0.028091403028785017
to,6068,0.01982494715416608,6069,0.01798952463666733
a,4713,0.015397985487406845,4714,0.013973079442618188
:,4463,0.014581202892063813,4464,0.013232037893900634
realdonaldtrump,4342,0.014185880115917785,4343,0.01287337378432134
you,4324,0.014127071769053088,4325,0.012820018792813675
for,4217,0.01377748881824627,4218,0.012502853009962563
is,4114,0.01344097438896494,4115,0.01219754389189093
and,4080,0.013329891955998287,4081,0.012096762241265343
i,3854,0.012591520489808187,3855,0.011426860681224674
in,3792,0.012388958406163116,3793,0.011243082377142721
#,3630,0.011859683284380829,3631,0.010762887453573747
of,3622,0.011833546241329852,3623,0.010739174124014785
",",2746,0.008971540027247867,2747,0.008142564537308479
on,2619,0.008556614468813607,2620,0.007766115430559961
?,2278,0.007442523008765711,2279,0.006755334758109218
be,2247,0.007341241966943175,2248,0.006663445606068241
it,2235,0.007302036402366709,2236,0.006627875611729799
trump,2205,0.007204022490925545,2206,0.006538950625883692
http,2187,0.007145214144060847,2188,0.0064855956343760285
great,2147,0.007014528928805962,2148,0.00636702898658122
will,2107,0.0068838437135510765,2108,0.006248462338786411
https,1924,0.006285958853759977,1925,0.005706019925125162
!,1787,0.005838361991511995,1788,0.005299929156427943
's,1764,0.005763217992740436,1765,0.005231753333945928
that,1711,0.005590060082527714,1712,0.005074652525617806
@,1631,0.005328689652017943,1632,0.004837519230028189
are,1615,0.005276415565915989,1616,0.004790092570910265
with,1450,0.004737339052989588,1451,0.004301005148756681
we,1446,0.004724270531464099,1447,0.0042891484839772
at,1433,0.0046817978365062615,1434,0.004250614323443887
twitter,1415,0.0046229894896415635,1416,0.004197259331936223
amp,1400,0.004573982533920981,1401,0.00415279683901317
he,1382,0.004515174187056283,1383,0.0040994418475055056
have,1378,0.004502105665530795,1379,0.004087585182726025
my,1364,0.004456365840191584,1365,0.004046086855997842
n't,1262,0.004123118541291627,1263,0.00374374190412108
do,1164,0.0038029397639171587,1165,0.003453253617023799
not,1134,0.0037049258524759947,1135,0.0033643286311776928
-,1109,0.0036232475929416914,1110,0.0032902244763059374
this,1108,0.0036199804625603195,1109,0.003287260310111067
your,1098,0.0035873091587465982,1099,0.0032576186481623652
thank,1081,0.003531767942263272,1082,0.0032072278228495715
our,1071,0.0034990966384495508,1072,0.0031775861609008695
thanks,1037,0.003388014205482898,1038,0.003076804510275282
president,1009,0.0032965345548044787,1010,0.002993807856818916
was,963,0.0031462465572613604,964,0.0028574562118548865
just,931,0.0030416983850574523,932,0.0027626028936190393
all,926,0.0030253627331505916,927,0.0027477820626446883
.,911,0.00297635577743001,912,0.0027033195697216354
--,909,0.0029698215166672655,910,0.0026973912373318945
by,895,0.002924081691328056,896,0.0026558929106037118
so,877,0.0028652733444633574,878,0.002602537919096048
has,857,0.0027999307368359147,858,0.0025432545951986434
android,845,0.0027607251722594492,846,0.002507684600860201
donald,823,0.0026888483038692624,824,0.0024424729445730563
they,799,0.0026104371747163314,800,0.002371332955896171
as,766,0.002502621872131051,767,0.002273515471465454
me,750,0.002450347786029097,751,0.0022260888123475306
people,748,0.002443813525266353,749,0.00222016047995779
obama,739,0.0024144093518340035,740,0.0021934829842039584
what,737,0.0024078750910712593,738,0.002187554651814218
can,729,0.002381738048020282,730,0.002163841322255256
america,697,0.002277189875816374,698,0.0020689880040194093
would,697,0.002277189875816374,698,0.0020689880040194093
from,680,0.002221648659333048,681,0.002018597178706616
his,676,0.0022085801378075596,677,0.0020067405139271347
if,670,0.0021889773555193266,671,0.0019889555167579135
get,668,0.0021824430947565824,669,0.001983027184368173
but,667,0.00217917596437521,668,0.001980063018173303
new,656,0.002143237530180117,657,0.0019474571900297305
who,651,0.0021269018782732563,652,0.0019326363590553796
no,646,0.0021105662263663956,647,0.0019178155280810284
very,627,0.0020484907491203253,628,0.0018614963703784944
like,625,0.002041956488357581,626,0.001855568037988754
about,603,0.001970079619967394,604,0.0017903563817016092
make,599,0.0019570110984419055,600,0.0017784997169221284
country,581,0.0018982027515772072,582,0.0017251447254144645
s,579,0.0018916684908144629,580,0.001719216393024724
out,573,0.00187206570852623,574,0.0017014313958555029
time,560,0.0018295930135683925,561,0.00166289723532219
now,546,0.0017838531882291826,547,0.0016213989085940071
good,545,0.0017805860578478105,546,0.001618434742399137
should,538,0.0017577161451782057,539,0.0015976855790350453
one,536,0.0017511818844154613,537,0.001591757246645305
more,515,0.0016825721464066466,516,0.0015295097565530304
run,511,0.0016695036248811582,512,0.0015176530917735496
an,505,0.0016499008425929253,506,0.0014998680946043282
big,474,0.0015486198007703894,475,0.0014079789425633516
up,467,0.0015257498881007844,468,0.00138722977919926
again,464,0.0015159484969566681,465,0.0013783372806146495
best,458,0.0014963457146684354,459,0.0013605522834454283
when,456,0.001489811453905691,457,0.0013546239510556879
us,448,0.001463674410854714,449,0.001330910621496726
only,442,0.001444071628566481,443,0.001313125624327505
trump2016,440,0.001437537367803737,441,0.0013071972919377643
love,439,0.0014342702374223648,440,0.001304233125742894
how,436,0.0014244688462782483,437,0.0012953406271582835
today,428,0.0013983318032272714,429,0.0012716272975993217
think,422,0.0013787290209390387,423,0.0012538423004301005
never,419,0.0013689276297949222,420,0.00124494980184549
going,418,0.00136566049941355,419,0.0012419856356506197
why,411,0.0013427905867439453,412,0.0012212364722865281
many,403,0.0013166535436929681,404,0.0011975231427275663
vote,401,0.001310119282930224,402,0.001191594810337826
see,395,0.0012905165006419912,396,0.0011738098131686048
back,393,0.0012839822398792468,394,0.0011678814807788644
...,391,0.0012774479791165026,392,0.001161953148389124
need,390,0.0012741808487351305,391,0.0011589889821942536
or,382,0.0012480438056841534,383,0.001135275652635292
hillary,378,0.0012349752841586648,379,0.0011234189878558112
than,375,0.0012251738930145486,376,0.0011145264892712004
via,371,0.00121210537148906,372,0.0011026698244917196
barackobama,370,0.001208838241107688,371,0.0010997056582968494
true,366,0.0011957697195821993,367,0.0010878489935173686
am,364,0.0011892354588194552,365,0.001081920661127628
web,361,0.0011794340676753387,362,0.0010730281625430174
client,359,0.0011728998069125945,360,0.001067099830153277
did,351,0.0011467627638616174,352,0.0010433865005943152
really,349,0.0011402285030988732,350,0.0010374581682045748
show,344,0.0011238928511920125,345,0.0010226373372302238
much,342,0.0011173585904292683,343,0.0010167090048404835
go,339,0.0011075571992851519,340,0.0010078165062558726
rt,337,0.0011010229385224077,338,0.0010018881738661323
him,336,0.0010977558081410354,337,0.000998924007671262
tonight,334,0.0010912215473782912,335,0.0009929956752815217
there,328,0.0010716187650900585,329,0.0009752106781123004
them,320,0.0010454817220390813,321,0.0009514973485533387
over,317,0.001035680330894965,318,0.0009426048499687281
last,317,0.001035680330894965,318,0.0009426048499687281
mr,309,0.001009543287843988,310,0.0009188915204097663
work,306,0.0009997418966998716,307,0.0009099990218251557
job,304,0.0009932076359371273,305,0.0009040706894354153
does,302,0.000986673375174383,303,0.0008981423570456748
she,300,0.000980139114411639,301,0.0008922140246559344
know,299,0.0009768719840302666,300,0.0008892498584610642
must,293,0.000957269201742034,294,0.0008714648612918429
watch,291,0.0009507349409792897,292,0.0008655365289021025
been,291,0.0009507349409792897,292,0.0008655365289021025
their,289,0.0009442006802165454,290,0.000859608196512362
bad,285,0.0009311321586910569,286,0.0008477515317328812
2016,282,0.0009213307675469405,283,0.0008388590331482705
'm,282,0.0009213307675469405,283,0.0008388590331482705
win,281,0.0009180636371655683,282,0.0008358948669534003
want,277,0.0009049951156400799,278,0.0008240382021739195
amazing,274,0.0008951937244959635,275,0.0008151457035893089
day,272,0.0008886594637332192,273,0.0008092173711995685
ca,272,0.0008886594637332192,273,0.0008092173711995685
're,270,0.0008821252029704749,271,0.000803289038809828
makeamericagreatagain,270,0.0008821252029704749,271,0.000803289038809828
being,264,0.0008625224206822422,265,0.0007855040416406067
world,261,0.0008527210295381258,262,0.0007766115430559961
man,260,0.0008494538991567536,261,0.0007736473768611259
keep,259,0.0008461867687753815,260,0.0007706832106662557
had,259,0.0008461867687753815,260,0.0007706832106662557
ever,259,0.0008461867687753815,260,0.0007706832106662557
right,259,0.0008461867687753815,260,0.0007706832106662557
china,258,0.0008429196383940093,259,0.0007677190444713854
please,258,0.0008429196383940093,259,0.0007677190444713854
night,256,0.0008363853776312652,257,0.000761790712081645
way,255,0.000833118247249893,256,0.0007588265458867748
jobs,254,0.0008298511168685209,255,0.0007558623796919046
her,251,0.0008200497257244045,252,0.0007469698811072939
deal,250,0.0008167825953430323,251,0.0007440057149124237
were,249,0.0008135154649616602,250,0.0007410415487175535
doing,249,0.0008135154649616602,250,0.0007410415487175535
golf,247,0.0008069812041989159,248,0.0007351132163278131
said,246,0.0008037140738175438,247,0.0007321490501329428
first,245,0.0008004469434361718,246,0.0007291848839380726
interview,245,0.0008004469434361718,246,0.0007291848839380726
u.s,245,0.0008004469434361718,246,0.0007291848839380726
always,244,0.0007971798130547996,245,0.0007262207177432024
nice,243,0.0007939126826734275,244,0.0007232565515483322
foxnews,243,0.0007939126826734275,244,0.0007232565515483322
better,243,0.0007939126826734275,244,0.0007232565515483322
clinton,239,0.0007808441611479389,240,0.0007113998867688513
t,236,0.0007710427700038225,237,0.0007025073881842407
business,235,0.0007677756396224504,236,0.0006995432219893705
american,234,0.0007645085092410782,235,0.0006965790557945003
because,230,0.0007514399877155898,231,0.0006847223910150194
even,229,0.0007481728573342177,230,0.0006817582248201492
obamacare,229,0.0007481728573342177,230,0.0006817582248201492
news,225,0.0007351043358087291,226,0.0006699015600406683
apprentice,224,0.000731837205427357,225,0.0006669373938457981
foxandfriends,220,0.0007187686839018685,221,0.0006550807290663172
could,218,0.0007122344231391242,219,0.0006491523966765768
let,218,0.0007122344231391242,219,0.0006491523966765768
years,217,0.0007089672927577521,218,0.0006461882304817067
money,216,0.00070570016237638,217,0.0006432240642868365
look,216,0.00070570016237638,217,0.0006432240642868365
looking,213,0.0006958987712322635,214,0.0006343315657022258
cont,212,0.0006926316408508914,213,0.0006313673995073556
real,209,0.000682830249706775,210,0.000622474900922745
needs,208,0.000679563119325403,209,0.0006195107347278748
after,207,0.0006762959889440308,208,0.0006165465685330045
take,206,0.0006730288585626587,207,0.0006135824023381343
got,205,0.0006697617281812865,206,0.0006106182361432641
made,204,0.0006664945977999144,205,0.0006076540699483939
into,203,0.0006632274674185423,204,0.0006046899037535237
most,202,0.0006599603370371701,203,0.0006017257375586535
down,202,0.0006599603370371701,203,0.0006017257375586535
national,201,0.000656693206655798,202,0.0005987615713637832
say,201,0.000656693206655798,202,0.0005987615713637832
apprenticenbc,200,0.0006534260762744259,201,0.000595797405168913
course,198,0.0006468918155116816,199,0.0005898690727791726
hope,198,0.0006468918155116816,199,0.0005898690727791726
hard,195,0.0006370904243675653,196,0.000580976574194562
cnn,194,0.0006338232939861931,195,0.0005780124079996917
celebapprentice,194,0.0006338232939861931,195,0.0005780124079996917
year,193,0.000630556163604821,194,0.0005750482418048215
poll,187,0.0006109533813165882,188,0.0005572632446356002
forward,186,0.000607686250935216,187,0.00055429907844073
tomorrow,186,0.000607686250935216,187,0.00055429907844073
well,185,0.000604419120553844,186,0.0005513349122458598
done,184,0.0006011519901724719,185,0.0005483707460509896
next,184,0.0006011519901724719,185,0.0005483707460509896
believe,182,0.0005946177294097276,183,0.0005424424136612492
give,180,0.0005880834686469833,181,0.0005365140812715087
u,179,0.0005848163382656112,180,0.0005335499150766385
),177,0.0005782820775028669,178,0.0005276215826868981
debate,175,0.0005717478167401226,176,0.0005216932502971576
too,175,0.0005717478167401226,176,0.0005216932502971576
happy,174,0.0005684806863587505,175,0.0005187290841022874
enjoy,174,0.0005684806863587505,175,0.0005187290841022874
stop,171,0.0005586792952146342,172,0.0005098365855176768
any,168,0.0005488779040705177,169,0.0005009440869330661
record,167,0.0005456107736891456,168,0.0004979799207381959
've,164,0.0005358093825450292,165,0.0004890874221535853
another,164,0.0005358093825450292,165,0.0004890874221535853
success,163,0.0005325422521636571,164,0.0004861232559587151
agree,163,0.0005325422521636571,164,0.0004861232559587151
wow,161,0.0005260079914009129,162,0.00048019492356897464
smart,161,0.0005260079914009129,162,0.00048019492356897464
some,160,0.0005227408610195407,161,0.00047723075737410444
other,160,0.0005227408610195407,161,0.00047723075737410444
