freq,word,probability,freq_iterated,probability_iterated
3551,the,0.025175469691598725,3552,0.022179760968116594
3515,i,0.024920241049273307,3516,0.021954966093439738
2880,to,0.02041829138603332,2881,0.017989834276222947
2474,my,0.017539879475363347,2475,0.015454647634033944
2010,a,0.01425026586316909,2011,0.012557291471532226
1669,in,0.011832683445586672,1670,0.01042798446417644
1568,is,0.011116625310173697,1569,0.009797309954666367
1520,so,0.010776320453739809,1521,0.009497583455097224
1499,for,0.010627437079049982,1500,0.009366453111535724
1435,you,0.010173697270471464,1436,0.008966817778776866
1434,on,0.010166607585962426,1435,0.008960573476702509
1344,&,0.009528535980148883,1345,0.008398586290010366
1332,of,0.009443459766040411,1333,0.00832365466511808
1214,rt,0.008606876993973769,1215,0.007586827020343937
1204,and,0.008535980148883375,1205,0.007524383999600365
1203,this,0.008528890464374335,1204,0.0075181396975260075
1171,love,0.008302020560085076,1172,0.007318322031146579
1093,with,0.0077490251683800075,1094,0.006831266469346721
1029,u,0.007295285359801489,1030,0.006431631136587864
964,,0.006834455866713931,965,0.006025751501754649
921,at,0.00652959943282524,922,0.0057572465125572915
903,i'm,0.0064019851116625314,904,0.005644849075218863
884,it,0.006267281105990783,885,0.005526207335806077
843,me,0.005976604041120171,844,0.005270190950757434
829,up,0.00587734845799362,830,0.005182770721716434
785,just,0.005565402339595888,786,0.004908021430444719
719,are,0.0050974831619992915,720,0.004495897493537147
688,all,0.004877702942219071,689,0.004302324129232076
655,new,0.004643743353420773,656,0.00409626216077829
627,have,0.0044452321871676715,628,0.00392142170269629
594,be,0.0042112725983693726,595,0.0037153597342425037
536,kimkardashian,0.0038000708968450904,537,0.003353190213929789
503,what,0.003566111308046792,504,0.003147128245476003
502,now,0.0035590216235377526,503,0.003140883943401646
502,out,0.0035590216235377526,503,0.003140883943401646
471,tonight,0.003339241403757533,472,0.0029473105790965744
471,today,0.003339241403757533,472,0.0029473105790965744
465,was,0.0032967032967032967,466,0.0029098447666504315
464,can't,0.0032896136121942574,465,0.0029036004645760743
461,we,0.0032683445586671393,462,0.002884867558353003
460,our,0.0032612548741581,461,0.0028786232562786457
455,lol,0.0032258064516129032,456,0.00284740174590686
451,day,0.003197447713576746,452,0.0028224245376094314
448,good,0.003176178660049628,449,0.00280369163138636
435,get,0.0030840127614321163,436,0.002722515704419717
426,that,0.003020205600850762,427,0.0026663169857505027
424,happy,0.0030060262318326834,425,0.0026538283816017884
401,guys,0.0028429634881247784,402,0.002510209433891574
400,your,0.002835873803615739,401,0.002503965131817217
378,-,0.0026799007444168734,379,0.0023665904861813595
376,w,0.0026657213753987948,377,0.002354101882032645
372,2,0.0026373626373626374,373,0.0023291246737352166
371,do,0.002630272952853598,372,0.0023228803716608595
370,khloekardashian,0.0026231832683445587,371,0.0023166360695865023
368,see,0.00260900389932648,369,0.002304147465437788
362,go,0.002566465792272244,363,0.002266681652991645
354,how,0.002509748316199929,355,0.002216727236396788
344,time,0.0024388514711095356,345,0.0021542842156532164
338,but,0.0023963133640552995,339,0.0021168184032070735
330,night,0.0023395958879829848,331,0.0020668639866122164
318,everyone,0.0022545196738745126,319,0.0019919323617199306
317,will,0.0022474299893654732,318,0.0019856880596455734
316,look,0.002240340304856434,317,0.0019794437575712163
305,like,0.002162353775257001,306,0.0019107564347532876
302,best,0.002141084721729883,303,0.0018920235285302162
298,who,0.0021127259836937256,299,0.0018670463202327876
297,fun,0.0021056362991846863,298,0.0018608020181584304
296,from,0.002098546614675647,297,0.0018545577160840733
292,wait,0.0020701878766394895,293,0.0018295805077866447
290,her,0.002056008507621411,291,0.0018170919036379304
285,much,0.002020560085076214,286,0.0017858703932661446
279,not,0.001978021978021978,280,0.0017484045808200017
276,about,0.00195675292449486,277,0.0017296716745969303
267,its,0.0018929457639135058,268,0.001673472955927716
265,birthday,0.0018787663948954272,266,0.0016609843517790017
261,am,0.0018504076568592698,262,0.001636007143481573
253,one,0.001793690180786955,254,0.0015860527268867159
