freq,word,probability,freq_iterated,probability_iterated
4802,the,0.04189897826523222,4803,0.037555124636411974
3956,to,0.03451735902067028,3957,0.030940168266975262
2364,president,0.020626652357144726,2365,0.018492165264441873
2191,a,0.019117172298859602,2192,0.01713946142057361
2150,obama,0.018759434250364283,2151,0.016818878428674192
1880,of,0.01640359832124877,1881,0.014707722140556094
1874,in,0.01635124641171287,1875,0.014660807556375692
1682,for,0.014675985306564056,1683,0.013159540862602822
1622,and,0.014152466211205054,1623,0.012690395020798799
1230,you,0.010732141454859566,1231,0.009625308854345854
1221,on,0.010653613590555715,1222,0.009554936978075251
1209,is,0.010548909771483915,1210,0.009461107809714446
1137,we,0.00992068685705311,1138,0.00889813279954962
960,this,0.008376305525744051,961,0.007514152566227754
804,our,0.007015155877810643,805,0.006294373377537297
782,that,0.006823198876179009,783,0.006122353235542489
710,your,0.006194975961748205,711,0.005559378225377662
647,if,0.0056452809116212515,648,0.005066775091483439
601,at,0.005243916271846016,602,0.004707096612767022
547,it,0.0047727490860229125,548,0.004284865355143402
546,have,0.004764023767766929,547,0.004277046257780002
537,are,0.004685495903463079,538,0.004206674381509398
517,with,0.0045109895383434115,518,0.004050292434241392
509,more,0.004441186992295544,510,0.0039877396553341885
494,be,0.004310307218455794,495,0.0038704531948831828
425,will,0.0037082602587929395,426,0.003330935476808557
396,from,0.0034552260293694214,397,0.0031041816532699465
394,as,0.0034377753928574546,395,0.0030885434585431457
390,health,0.003402874119833521,391,0.003057267069089544
384,i,0.0033505222102976208,385,0.003010352484909142
373,can,0.0032545437094818035,374,0.002924342413911738
372,not,0.00324581839122582,373,0.0029165233165483377
368,today,0.0032109171182018864,369,0.002885246927094736
365,congress,0.003184741163433936,366,0.002861789635004535
354,make,0.003088762662618119,355,0.002775779564007131
350,time,0.0030538613895941856,351,0.0027445031745535298
345,who,0.0030102347983142685,346,0.002705407687736528
343,americans,0.0029927841618023017,344,0.002689769493009727
343,by,0.0029927841618023017,344,0.002689769493009727
331,about,0.002888080342730501,332,0.0025959403246489225
326,than,0.0028444537514505843,327,0.0025568448378319206
313,up,0.0027310246141228002,314,0.002455196572107716
312,all,0.002722299295866817,313,0.0024473774747443156
308,get,0.002687398022842883,309,0.002416101085290714
308,it's,0.002687398022842883,309,0.002416101085290714
302,watch,0.002635046113306983,303,0.002369186501110312
300,what,0.002617595476795016,301,0.002353548306383511
287,has,0.002504166339467232,288,0.0022519000406593065
278,jobs,0.0024256384751633817,279,0.002181528164388703
277,care,0.0024169131569073982,278,0.0021737090670253026
275,people,0.0023994625203954314,276,0.002158070872298502
275,their,0.0023994625203954314,276,0.002158070872298502
272,an,0.002373286565627481,273,0.0021346135802083007
271,one,0.0023645612473714977,272,0.0021267944828449003
271,do,0.0023645612473714977,272,0.0021267944828449003
269,should,0.0023471106108595313,270,0.0021111562881180996
262,out,0.0022860333830676473,263,0.002056422606574297
262,change,0.0022860333830676473,263,0.002056422606574297
261,romney,0.002277308064811664,262,0.0020486035092108965
259,just,0.002259857428299697,260,0.0020329653144840957
257,now,0.0022424067917877306,258,0.0020173271197572954
248,america,0.00216387892748388,249,0.001946955243486692
237,his,0.0020679004266680625,238,0.0018609451724892877
236,american,0.002059175108412079,237,0.0018531260751258874
233,need,0.0020329991536441293,234,0.0018296687830356864
230,help,0.002006823198876179,231,0.0018062114909454853
228,vote,0.001989372562364212,229,0.0017905732962186845
227,or,0.0019806472441082287,228,0.0017827541988552841
226,tax,0.0019719219258522453,227,0.0017749351014918837
223,fact,0.0019457459710842953,224,0.0017514778094016826
221,day,0.0019282953345723286,222,0.0017358396146748818
220,us,0.0019195700163163452,221,0.0017280205173114817
219,rt,0.0019108446980603618,220,0.0017202014199480813
219,they,0.0019108446980603618,220,0.0017202014199480813
218,economy,0.0019021193798043783,219,0.001712382322584681
216,work,0.0018846687432924115,217,0.0016967441278578801
212,new,0.001849767470268478,213,0.0016654677384042786
209,million,0.001823591515500528,210,0.0016420104463140774
207,women,0.001806140878988561,208,0.0016263722515872767
204,support,0.001779964924220611,205,0.0016029149594970757
203,agree,0.0017712396059646276,204,0.0015950958621336754
202,act,0.0017625142877086442,203,0.001587276764770275
199,live,0.001736338332940694,200,0.0015638194726800738
198,when,0.0017276130146847107,199,0.0015560003753166734
197,every,0.0017188876964287273,198,0.001548181277953273
194,reform,0.001692711741660777,195,0.001524723985863072
193,no,0.0016839864234047936,194,0.0015169048884996715
183,know,0.0015967332408449598,184,0.001438713914865668
181,year,0.0015792826043329931,182,0.0014230757201388671
181,country,0.0015792826043329931,182,0.0014230757201388671
178,last,0.0015531066495650429,179,0.001399618428048666
177,how,0.0015443813313090594,178,0.0013917993306852656
176,plan,0.001535656013053076,177,0.0013839802333218652
173,back,0.001509480058285126,174,0.0013605229412316643
172,but,0.0015007547400291425,173,0.001352703843868264
171,want,0.0014920294217731591,172,0.0013448847465048635
170,climate,0.0014833041035171757,171,0.0013370656491414632
166,would,0.0014484028304932422,167,0.0013057892596878616
166,was,0.0014484028304932422,167,0.0013057892596878616
164,"""i",0.0014309521939812754,165,0.0012901510649610609
164,pay,0.0014309521939812754,165,0.0012901510649610609
164,years,0.0014309521939812754,165,0.0012901510649610609
161,first,0.0014047762392133253,162,0.0012666937728708597
160,my,0.0013960509209573419,161,0.0012588746755074593
159,keep,0.0013873256027013585,160,0.0012510555781440592
155,&,0.001352424329677425,156,0.0012197791886904576
155,go,0.001352424329677425,156,0.0012197791886904576
147,got,0.0012826217836295578,148,0.0011572264097832546
146,insurance,0.0012738964653735746,147,0.0011494073124198542
145,take,0.0012651711471175912,146,0.0011415882150564538
